ra,dec,mu_0,m_tot,r_e,n,ell,g-i,g-r,A_g,A_r,A_i
337.928064789,2.26229204983,26.2921456865,21.1062989724,7.9356984,0.383599,0.6357,0.203163825501,0.190767225239,0.21145153582,0.149840850159,0.106935744221
337.915811709,2.2743203207,25.3979126169,20.7072843798,8.7687936,0.81028,0.671106,0.268655125812,0.319570747287,0.21213040834,0.150321919427,0.107279065152
337.898960396,1.68631505241,25.0139599013,22.4005089232,6.8242272,1.83936,0.5664,0.329954223728,0.167866854078,0.240631254842,0.17051846732,0.12169257707
337.79022295,1.92915082529,26.7221127464,21.7984806153,6.5851632,0.784488,0.303966,0.086158408126,0.053992460536,0.232498993553,0.164755704989,0.117579911679
337.01946861,2.59296248923,25.8353840789,20.1178871087,8.8538856,0.483174,0.46592,0.816316071944,0.471693713643,0.309619913856,0.219405883899,0.1565816762
337.228747012,2.26432075534,27.1968120111,21.9664373058,5.4690552,0.106189,0.339167,0.442306908372,0.396024431862,0.2780239709,0.197016058562,0.140602905172
338.274208368,2.11434548353,25.0281222156,22.3806795681,4.0149816,1.40115,0.389656,1.23971629966,0.531765015512,0.201056624768,0.14247470688,0.101678806525
335.628286796,2.41851540535,25.9918883244,21.9121432382,3.6561504,0.209911,0.465634,0.520366456881,0.241104889025,0.17852761798,0.126509982305,0.0902853867606
336.699585321,2.0746837181,22.7275254406,22.0989354689,6.1932528,2.8089,0.518705,0.262068905979,0.303140986403,0.229261389557,0.16246144246,0.115942583336
335.34233663,2.38645997444,25.0149345324,21.1197846115,5.7446928,1.02305,0.490969,0.584146171319,0.183445224794,0.205534465397,0.145647837991,0.103943350116
334.759947831,2.68585524239,20.5050662398,21.9444233848,3.599904,3.54704,0.170403,0.532464009687,0.236918280863,0.295509684347,0.20940695541,0.149445819334
334.631811057,2.0083072039,23.3494529629,22.8484245405,4.2834624,2.28135,0.656068,0.865290515228,0.487717735047,0.126446869462,0.0896040142088,0.0639469939901
333.335943315,2.41307884689,17.0677992434,21.4678472189,4.2461832,5.0,0.396388,0.604310329366,0.462072257371,0.146963314406,0.104142577577,0.0743226164721
333.643104675,1.77263499417,19.7208226109,23.1368688692,4.0923456,4.20909,0.640368,0.801517681523,0.442365262044,0.114300269164,0.0809965718081,0.0578041880866
333.180192726,2.32953130706,23.5388136535,19.7406471797,3.294564,0.793999,0.0,0.326747729723,0.405174045139,0.12331876009,0.087387342829,0.0623650395135
333.188690231,2.50886028354,26.1780555144,20.1431984737,10.2774504,0.579447,0.401195,0.451262327553,0.378818206041,0.198242846955,0.140480780196,0.100255816508
332.854838085,2.14065201458,24.1605466372,21.8998636488,6.628944,1.86183,0.654659,0.935890359267,0.657915688629,0.114773056682,0.081331603111,0.0580432872486
331.978349588,2.31385127804,16.5387128858,20.2565595722,5.0726928,5.0,0.207209,1.11465239344,0.71591868216,0.1185788268,0.0840284850602,0.0599679498356
330.86875147,2.58964293962,21.8388172666,21.8560532718,3.055836,2.70846,0.0922096,0.586268398851,0.550859689101,0.120719686999,0.0855455622997,0.0610506304496
330.868658003,2.60045151796,25.4131860296,20.7038736763,5.1511824,0.831208,0.0,1.0199579758,0.805449250285,0.120456204074,0.0853588504592,0.0609173812749
330.900448877,2.16397876437,24.1475718486,20.0748342521,6.7514328,1.08166,0.523947,1.04339812473,0.718269965263,0.116642653105,0.0826564547679,0.0589887837388
342.99168962,1.33349436491,26.8757640876,21.6620658807,5.7878016,0.583172,0.109423,0.497450071701,-0.00401907128,0.237525996633,0.168317988953,0.120122178934
343.270086034,1.21105214924,21.75381124,19.0865280652,4.3475376,1.48958,0.384846,0.581932252316,0.399231732942,0.188158674128,0.13333483527,0.0951560260439
343.808634646,1.45229250528,25.6681869483,21.009914241,4.0848696,0.528743,0.0,0.494296030684,0.38823234933,0.316494072943,0.224277117573,0.160058091327
343.225368483,0.477965526911,23.9302166318,21.0211479798,4.4517144,1.47225,0.288101,1.08397554846,0.644162448566,0.251399968093,0.178149497959,0.12713855485
343.093512725,0.482016549978,25.1399783592,21.6684252998,7.0497672,1.28712,0.650033,1.05779219777,0.453387980565,0.258358183421,0.183080296386,0.130657479088
343.19062379,1.34131391465,23.6166483948,19.4446284671,4.1315064,0.519267,0.382659,0.351221596694,0.243154680811,0.200238294127,0.141894813438,0.101264958521
341.376397345,1.41014437876,24.4229885645,21.6942691347,5.9793384,1.69199,0.51368,0.805944072936,0.549598387462,0.237212561259,0.168095879321,0.119963667695
343.867225425,1.17794804222,22.1099849401,19.2223883546,3.449712,1.30046,0.127476,0.587985529383,0.364115207242,0.20372379853,0.144364745572,0.103027655613
341.446715722,1.02622755842,24.5231320284,20.326675572,6.9485304,1.36762,0.197482,0.712395657613,0.54960958391,0.226988014294,0.160850461104,0.114792886907
342.778067131,1.23732457047,24.5568793066,21.1026601849,3.351768,1.0,0.039,0.977532936611,0.326220558809,0.287340249777,0.203617850986,0.145314354588
342.545431776,0.579726821236,24.8227964292,21.4930578067,5.461932,1.42221,0.359546,0.837108944341,0.71243431935,0.325165465195,0.230421924145,0.164443407236
342.670409949,0.603592326445,24.4963229295,22.2917499732,2.6343408,1.32822,0.164934,0.909268080621,0.702066261595,0.331834673852,0.235147923847,0.167816174373
342.377941421,0.60098223149,20.1326423756,22.3690979695,6.8056128,4.23926,0.592054,0.409423166854,0.299904440645,0.317595758825,0.22505780497,0.160615238379
